mac,hostname
B4:18:D1:C5:50:93,ipad_mini
C0:3F:D5:63:51:ED,adrock
7C:C5:37:CC:6E:ED,shoephone
C0:3F:D5:63:A5:1D,miked
10:40:F3:85:52:FC,13_in_air
88:1F:A1:2A:5B:E3,airport
60:03:08:A7:0C:A4,splunkbook_pro
C0:3F:D5:63:A7:90,mca
98:FE:94:85:E9:B1,splunkpad
1C:AB:A7:BC:AA:AE,soma_tablet
A8:20:66:1E:83:D1,macaque
98:D6:BB:2B:43:59,apple_tv
34:C0:59:7D:1A:44,whitephone
44:33:4C:6C:18:E1,birdbox_pi
3C:D9:2B:EA:22:F1,printer_wired
E8:40:F2:3C:E4:D8,pan_troglodyte_eth2
D0:E1:40:8A:78:2C,loris
E0:B5:2D:38:5E:A3,phablet
00:30:18:A3:AC:FB,router
00:25:90:DD:42:B8,bochs
