ip,hostname,mac
"10.100.0.1",router,"00:30:18:A3:AC:FB"
"10.100.0.226",phablet,"E0:B5:2D:38:5E:A3"
"10.100.0.240",,"00:1F:3C:A2:B1:28"
"10.100.0.227","13_in_air","10:40:F3:85:52:FC"
"10.100.0.101","splunkbook_pro","60:03:08:A7:0C:A4"
"10.100.0.230",loris,"D0:E1:40:8A:78:2C"
"10.100.0.241","apple_tv","98:D6:BB:2B:43:59"
"10.100.0.225",,"00:1F:3C:72:65:D6"
"10.100.0.237","printer_wired","3C:D9:2B:EA:22:F1"
"10.100.0.245",,"00:1F:3C:18:6A:A8"
"10.100.0.232",whitephone,"34:C0:59:7D:1A:44"
"10.100.0.229",shoephone,"7C:C5:37:CC:6E:ED"
